name,location,given_by,dialogue,requirements,objectives,rewards,previous,leads_to
The Choice,,Fence,,Must be level 50 to start this quest.,Handover Secure container Epsilon,"+433,333 EXP | +2 Hideout Management skill levels | Fence Rep +1.1 | 1,000,000 Roubles 1,050,000 Roubles with Intelligence Center Level 1 1,150,000 Roubles with Intelligence Center Level 2",The Punisher - Part 6,
Compensation for Damage - Trust,,Fence,,Scav karma of -1,Hand over the 5 found in raid BEAR PMC dogtags | Hand over the 5 found in raid USEC PMC dogtags,Fence Rep +1,,
Compensation for Damage - Wager,,Fence,,Scav karma of -1,Eliminate 7 PMC operatives while using any AK-series assault rifle,Fence Rep +1,,
Compensation for Damage - Barkeep,,Fence,,Scav karma of -1,Hand over the found in raid Bottle of Dan Jackiel whiskey | Hand over the 3 found in raid Can of TarCola soda,Fence Rep +1,,
Compensation for Damage - Collection,,Fence,,Scav karma of -1,Hand over the 2 found in raid Colt M4A1 assault rifles,Fence Rep +1,,
Compensation for Damage - Wergild,,Fence,,Scav karma of -3,"Hand over 1,000,000 RUB",Fence Rep +1,,
Establish Contact,,Fence,,Scav karma of at least +4,Reach 5.0 standing with Fence,"+8,800 EXP | Fence Rep +0.02 | 600 Euros 630 Euros with Intelligence Center Level 1 690 Euros with Intelligence Center Level 2",,Friend Among Strangers
Friend Among Strangers,,Fence,,,"Eliminate 7 PMC operatives without killing Scavs , Scav Raiders , Rogues or Bosses","+25,600 EXP | Fence Rep +0.04 | 1,200 Euros 1,260 Euros with Intelligence Center Level 1 1,380 Euros with Intelligence Center Level 2 | 2× Military flash drive",Establish Contact,Immunity
Immunity (quest),,Fence,,,"Extract from the location with the ""Unknown toxin"" status effect","+28,000 EXP | Fence Rep +0.02 | 1,150 Euros 1,208 Euros with Intelligence Center Level 1 1,323 Euros with Intelligence Center Level 2 | 5× XTG-12 antidote injector",Friend Among Strangers,Small Business - Part 1
Small Business - Part 1,,Fence,,,Find a Ded Moroz figurine in raid | Hand over the item to Fence | Find a Politician Mutkevich figurine in raid | Hand over the item to Fence | Find a Killa figurine in raid | Hand over the item to Fence | Find a Reshala figurine in raid | Hand over the item to Fence | Find a Ryzhy figurine in raid | Hand over the item to Fence | Find a Scav figurine in raid | Hand over the item to Fence | Find a Tagilla figurine in raid | Hand over the item to Fence | Find a Cultist figurine in raid | Hand over the item to Fence | Find a Den figurine in raid | Hand over the item to Fence,"+22,800 EXP | Fence Rep +0.02 | 1,800 Euros 1,890 Euros with Intelligence Center Level 1 2,070 Euros with Intelligence Center Level 2 | 3× Virtex programmable processor",Immunity,Small Business - Part 2
Small Business - Part 2,,Fence,,,Eliminate any 10 Boss guards without killing the Bosses,"+36,800 EXP | Fence Rep +0.04 | 2,200 Euros 2,310 Euros with Intelligence Center Level 1 2,530 Euros with Intelligence Center Level 2 | 2× Physical Bitcoin",Small Business - Part 1,Small Business - Part 3
Small Business - Part 3,"Shoreline , Woods",Fence,,,Stash a Cultist knife at the sunken village marked circle on Shoreline | Stash a Cultist knife at the Health Resort east wing marked circle on Shoreline | Stash a Cultist knife at the river village marked circle on Woods | Stash a Cultist knife at the sawmill marked circle on Woods,"+30,000 EXP | Fence Rep +0.03 | 6,000 Euros 6,300 Euros with Intelligence Center Level 1 6,900 Euros with Intelligence Center Level 2 | 1× Mark of The Unheard Note: Only obtainable in the PvE game mode and not available to owners of the ""The Unheard"" edition of the game.",Small Business - Part 2,
Is This a Reference?,"Streets of Tarkov , Ground Zero , Lighthouse , Reserve , Customs , Factory , Woods , Shoreline",Fence,,Must be level 25 to start this quest. | Scav karma of at least +1,Install a WI-FI Camera at the amphibian pizza lovers' hideout on Streets of Tarkov | Install a WI-FI Camera at the burned girl's sickroom on Streets of Tarkov | Install a WI-FI Camera at the barbed wire body on Streets of Tarkov | Install a WI-FI Camera at the really scary hole in the wall on Streets of Tarkov | Install a WI-FI Camera at the high rise where one die-hard guy kicked ass on Ground Zero | Install a WI-FI Camera at the computer with a joke for programmers on Ground Zero | Install a WI-FI Camera at the little chair surrounded by big black chairs on Ground Zero | Install a WI-FI Camera by your friend Wilson on Lighthouse | Install a WI-FI Camera at the kindled rest place on Lighthouse | Install a WI-FI Camera at the ominous welcome sign on Lighthouse | Install a WI-FI Camera at the megagenius scientist's seat on Lighthouse | Install a WI-FI Camera at the place where conscripts did a very important task on Reserve | Install a WI-FI Camera at the two chair riddle on Reserve | Install a WI-FI Camera at every tank driver's first videogame on Reserve | Install a WI-FI Camera at the bucket-head villain on Customs | Install a WI-FI Camera at Anvil 3-4 crew member's execution site on Customs | Install a WI-FI Camera at every indie developer's worst nightmare on Customs | Install a WI-FI Camera in the room where the firefighter burned the books to become happy on Factory | Install a WI-FI Camera at the place where some valve technicians couldn't finish their third project on Factory | Install a WI-FI Camera at the dangerous Russian chocolate beauty on Factory | Install a WI-FI Camera in the conspiracy theorist's room on Factory | Install a WI-FI Camera near where someone thought he'd get transported to the magic school on Factory | Install a WI-FI Camera at the mother of all strategy games on Factory | Install a WI-FI Camera at the stairway to the skies on Factory | Install a WI-FI Camera at the bear who sat into a flaming car on Woods | Install a WI-FI Camera at the upside-down chair on Shoreline | Install a WI-FI Camera at the not-so-lonely bathroom on Shoreline,"+30,000 EXP | 200,000 Roubles 210,000 Roubles with Intelligence Center Level 1 230,000 Roubles with Intelligence Center Level 2 | 1× Streamer item case",,
Supplier,,Skier,,Must be level 5 to start this quest.,Hand over 1 found in raid Module-3M armor to Skier | Hand over 1 found in raid TOZ-106 shotgun to Skier,"+3,300 EXP | Skier Rep +0.05 | 60,000 Roubles 63,000 Roubles with Intelligence Center Level 1 69,000 Roubles with Intelligence Center Level 2 | 1× Saiga-9 9x19 carbine | Unlocks purchase of Saiga-9 9x19 carbine at Skier LL1 | Unlocks purchase of 7.62x54mm R SP BT at Skier LL1",Burning Rubber,The Extortionist | Stirrup | Friend From the West - Part 1
The Extortionist,Customs,Skier,,Must be level 7 to start this quest.,Obtain the hidden valuable cargo on Customs ( Optional ) Locate the messengers body ( Optional ) Find the place where the messenger hid the cargo | Hand over the valuable cargo to Skier,"+3,200 EXP | Skier Rep +0.04 | 500 Dollars 525 Dollars with Intelligence Center Level 1 575 Dollars with Intelligence Center Level 2 | 1× Molot Arms VPO-209 .366 TKM carbine | 3× AK 7.62x39 30-round magazine (issued '55 or later) | 6× .366 TKM EKO ammo pack (20 pcs) | 1× BNTI Zhuk body armor (Press) | Unlocks purchase of Remington Model 870 12ga pump-action shotgun at Skier LL1",Supplier,What’s on the Flash Drive?
Stirrup,,Skier,,Must be level 8 to start this quest.,Eliminate 3 PMCs while using pistols,"+5,300 EXP | Skier Rep +0.05 | Prapor Rep -0.05 | Therapist Rep -0.02 | 70,000 Roubles 73,500 Roubles with Intelligence Center Level 1 80,500 Roubles with Intelligence Center Level 2 | 1× Camelbak Tri-Zip assault backpack (Foliage) | Unlocks purchase of Chiappa Rhino 50DS .357 revolver (variant Tactical) at Skier LL2",Supplier,
What’s on the Flash Drive?,,Skier,,Must be level 8 to start this quest.,Find 2 Secure flash drives in raid | Hand over 2 Secure flash drives to Skier,"+4,500 EXP | Skier Rep +0.04 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 1× Molot Arms Simonov OP-SKS 7.62x39 carbine (variant UAS) | 2× SKS 7.62x39 TAPCO 6610 20-round magazine | 1× SKS Hexagon 7.62x39 sound suppressor",The Extortionist,Golden Swag | Shady Business
Golden Swag,Customs,Skier,,Must be level 8 to start this quest.,Find the Golden Zibbo lighter | Stash the Golden Zibbo lighter in the bunkhouse in the trailer parking lot on Customs,"4,500 EXP | Skier Rep +0.04 | 17,000 Roubles 17,850 Roubles with Intelligence Center Level 1 19,550 Roubles with Intelligence Center Level 2 | 1× Soyuz-TM STM-9 Gen.2 9x19 carbine | 2× Glock 9x19 ""Big Stick"" 33-round magazine | 3× 9x19mm Green Tracer ammo pack (50 pcs) | Unlocks purchase of VOMZ Pilad P1x42 Weaver reflex sight at Skier LL1",What’s on the Flash Drive?,Chemical - Part 1
Chemical - Part 1,Customs,Skier,,Must be level 10 to start this quest.,Obtain information about the Deputy Chief's past life on Customs ( Optional ) Locate the sleeping place of the former Deputy Chief of Security on Customs | Hand over the information to Skier | Obtain items that can help the investigation | Hand over the items to Skier,"+4,800 EXP | Skier Rep +0.04 | 15,000 Roubles 15,750 Roubles with Intelligence Center Level 1 17,250 Roubles with Intelligence Center Level 2 | 1× MSA ACH TC-2002 MICH Series helmet (Olive Drab)",Golden Swag,Chemical - Part 2 | Polikhim Hobo
Chemical - Part 2,Customs,Skier,,Must be level 10 to start this quest.,Find any evidence on Customs that could help with the investigation | Hand over the evidence to Skier | Find any information on Customs that could help with the investigation | Hand over the info to Skier,"+4,800 EXP | Skier Rep +0.04 | 15,000 Roubles 15,750 Roubles with Intelligence Center Level 1 17,250 Roubles with Intelligence Center Level 2 | 3× F-1 hand grenade | 2× TP-200 TNT brick | Unlocks purchase of SOK-12 12ga SAI-02 10-round magazine at Jaeger LL2",Chemical - Part 1,Chemical - Part 3
Chemical - Part 3,Factory,Skier,,Must be level 11 to start this quest.,Obtain the chemical-filled syringe hidden in Factory | Hand over the chemical-filled syringe to Skier,"+5,400 EXP | Skier Rep +0.04 | Jaeger Rep -0.01 | 22,000 Roubles 23,100 Roubles with Intelligence Center Level 1 25,300 Roubles with Intelligence Center Level 2 | 1× BelOMO PSO-1M2-1 4x24 scope | 4× Zarya stun grenade",Chemical - Part 2,Vitamins - Part 1 | Chemical - Part 4 | Out of Curiosity | Big Customer
Chemical - Part 4,Customs,Skier,,Must be level 11 to start this quest.,Locate the transport with the chemicals on Customs | Mark the vehicle with an MS2000 Marker,"+6,500 EXP | Skier Rep +0.04 | 35,000 Roubles 36,750 Roubles with Intelligence Center Level 1 40,250 Roubles with Intelligence Center Level 2 | 1× Grenade case",Chemical - Part 3,No Offence | Trust Regain | Safe Corridor
Loyalty Buyout,,Skier,,,"Hand over 1,000,000 RUB to Skier",Skier Rep +0.25,Out of Curiosity | Big Customer,
Friend From the West - Part 1,,Skier,,Must be level 9 to start this quest.,Eliminate 7 USEC PMCs | Obtain 7 USEC PMC dogtags | Hand over 7 USEC PMC dogtags to Skier,"+10,000 EXP | Skier Rep +0.06 | 700 Dollars 735 Dollars with Intelligence Center Level 1 805 Dollars with Intelligence Center Level 2 | 2× ADAR 2-15 5.56x45 carbine | 1× 5.56x45mm M855A1 ammo pack (50 pcs) | 1× Roler Submariner gold wrist watch",Supplier,Friend From the West - Part 2
Friend From the West - Part 2,,Skier,,,"Hand over 5,000 USD to Skier","+10,000 EXP | Skier Rep +0.05 | Unlocks purchase of TDI KRISS Vector Gen.2 .45 ACP submachine gun at Skier LL3",Friend From the West - Part 1,Fishing Gear | Lend-Lease - Part 1 | Long Road | Setup
Vitamins - Part 1,"Shoreline , Interchange",Skier,,Must be level 22 to start this quest.,Obtain the first Chemical container | Hand over the first Chemical container to Skier | Obtain the second Chemical container | Hand over the second Chemical container to Skier | Obtain the third Chemical container | Hand over the third Chemical container to Skier,"+13,000 EXP | Skier Rep +0.05 | Jaeger Rep -0.01 | 40,000 Roubles 42,000 Roubles with Intelligence Center Level 1 46,000 Roubles with Intelligence Center Level 2 | 3× Holosun HS401G5 reflex sight | 2× Trijicon SRS-02 reflex sight",Chemical - Part 3,Vitamins - Part 2
Vitamins - Part 2,,Skier,,Must be level 22 to start this quest.,Find 4 Respirators in raid | Hand over 4 Respirators to Skier | Find 3 Medical bloodsets in raid | Hand over 3 Medical bloodsets to Skier,"15,800 EXP | Skier Rep +0.05 | 40,000 Roubles 42,000 Roubles with Intelligence Center Level 1 46,000 Roubles with Intelligence Center Level 2 | 4× Morphine injector | 1× Golden Star balm | Unlocks purchase of TDI KRISS Vector Gen.2 9x19 submachine gun at Skier LL3",Vitamins - Part 1,Beyond the Red Meat - Part 1 | Pyramid Scheme
Lend-Lease - Part 1,"Shoreline , Woods",Skier,,Must be level 25 to start this quest.,Obtain the first Motor Controller on Woods | Obtain the second Motor Controller on Shoreline | Obtain the third Motor Controller on Shoreline | Obtain the first Single-axis Fiber Optic Gyroscope on Woods | Obtain the second Single-axis Fiber Optic Gyroscope on Shoreline | Hand over the first controller to Skier | Hand over the second controller to Skier | Hand over the third controller to Skier | Hand over the first Single-axis Fiber Optic Gyroscope to Skier | Hand over the second Single-axis Fiber Optic Gyroscope to Skier,"17,500 EXP | Skier Rep +0.05 | 3,000 Dollars 3,150 Dollars with Intelligence Center Level 1 3,450 Dollars with Intelligence Center Level 2 | 1× Armasight N-15 night vision goggles | Unlocks purchase of ORSIS T-5000M 7.62x51 bolt-action sniper rifle at Skier LL2",Friend From the West - Part 2,Lend-Lease - Part 2
Informed Means Armed,"Interchange , Woods , Customs",Skier,,Must be level 24 to start this quest.,Install a WI-FI Camera to watch the sawmill dock on Woods | Install a WI-FI Camera to watch the road to the port on Customs | Install a WI-FI Camera to watch the Kiba Arms store entrance on Interchange,"14,000 EXP | Skier Rep +0.05 | 45,000 Roubles 47,250 Roubles with Intelligence Center Level 1 51,750 Roubles with Intelligence Center Level 2 | 2× AKM/AK-74 FAB Defense UAS stock | 4× AK CNC Warrior 5.56x45 muzzle device adapter | 1× EOTech Vudu 1-6x24 30mm riflescope",Setup,Chumming
Chumming,"Customs , Woods , Interchange",Skier,,Must be level 24 to start this quest.,Stash 3 Golden neck chains under the mattress next to BTR-82A in Generic Store on Interchange | Stash 3 Golden neck chains in the microwave on the 3rd floor of the dorm on Customs | Stash 3 Golden neck chains in the middle wooden cabin at the sawmill on Woods | Eliminate 5 PMC operatives in the time period of 22:00-10:00 on Interchange,"19,100 EXP | Skier Rep +0.05 | 65,000 Roubles 68,250 Roubles with Intelligence Center Level 1 74,750 Roubles with Intelligence Center Level 2 | 1× Roler Submariner gold wrist watch | 2× GP coin",Informed Means Armed,Bullshit | Debtor | Flint | No Swiping | Private Club
Kind of Sabotage,Woods,Skier,,Must accept Therapist 's quest Supply Plans to obtain this quest.,Hand over Secure Folder 0052 to Skier,"+4,500 EXP | Skier Rep +0.04 | 180,000 Roubles 189,000 Roubles with Intelligence Center Level 1 207,000 Roubles with Intelligence Center Level 2",Pharmacist,Dangerous Road | The Huntsman Path - Woods Keeper
Setup,Customs,Skier,,Must be level 18 to start this quest.,Eliminate 8 PMC operatives while wearing the specified gear on Customs,"+21,900 EXP | Skier Rep +0.05 | Fence Rep +0.05 | 150,000 Roubles 157,500 Roubles with Intelligence Center Level 1 172,500 Roubles with Intelligence Center Level 2 | 1× Kel-Tec RFB 7.62x51 rifle | 4× 12/70 AP-20 ammo pack (25 pcs) | Unlocks craft for 12/70 flechette at Workbench level 3",Friend From the West - Part 2,Informed Means Armed
Flint,,Skier,,Must be level 35 to start this quest.,Reach the required Stress resistance skill level of 5,"+25,100 EXP | Skier Rep +0.05 | 150,000 Roubles 157,500 Roubles with Intelligence Center Level 1 172,500 Roubles with Intelligence Center Level 2 | 3× Bottle of Tarkovskaya vodka | 5× Bottle of Pevko Light beer | Unlocks barter for Miller Bros. Blades M-2 Tactical Sword at Skier LL4",Chumming,Irresistible
Silent Caliber,,Skier,,Must be level 30 to start this quest.,Eliminate 20 Scavs while using a suppressed 12 gauge shotgun | Eliminate 10 PMCs while using a suppressed 12 gauge shotgun,"+18,000 EXP | Skier Rep +0.05 | 100,000 Roubles 105,000 Roubles with Intelligence Center Level 1 115,000 Roubles with Intelligence Center Level 2 | 1× MP-155 12ga semi-automatic shotgun (variant Ultima)",Bullshit,Connections Up North
Bullshit,Customs,Skier,,,Obtain the False flash drive from the specified spot on Customs | Stash the False flash drive in the trash opposite of the stairs on the 3rd floor of the dorm on Customs | Stash 1 SV-98 sniper rifle in the trash opposite of the stairs on the 3rd floor of the dorm on Customs | Stash 1 Roler Submariner gold wrist watch in the trash opposite of the stairs on the 3rd floor of the dorm on Customs | You must not kill any Scavs on Customs while the task is active,"+29,900 EXP | Skier Rep +0.07 | Fence Rep +0.05 | 120,000 Roubles 126,000 Roubles with Intelligence Center Level 1 138,000 Roubles with Intelligence Center Level 2 | 1,000 Dollars 1,050 Dollars with Intelligence Center Level 1 1,150 Dollars with Intelligence Center Level 2 | Unlocks purchase of CMMG Mk47 Mutant 7.62x39 assault rifle at Skier LL4 | Unlocks barter for 12/70 RIP ammo pack (5 pcs) at Skier LL2 | Unlocks barter for Kiba Arms Titan ballistic plate at Skier LL3",Chumming,Silent Caliber
Rigged Game,Shoreline,Skier,,,Mark the medical container at the Health Resort with an MS2000 Marker on Shoreline | Mark the medical container by cottages with an MS2000 Marker on Shoreline | Mark the medical container at the river pier with an MS2000 Marker on Shoreline | Survive and extract from the location,"+12,900 EXP | Skier Rep +0.05 | 150,000 Roubles 157,500 Roubles with Intelligence Center Level 1 172,500 Roubles with Intelligence Center Level 2 | 1× HK MP5 9x19 submachine gun (Navy 3 Round Burst) (variant SD) | 3× HK MP5 9x19 30-round magazine | 3× 9x19mm Luger CCI ammo pack (50 pcs)",Anesthesia,Night Sweep | The Huntsman Path - Sadist | Colleagues - Part 3
Safe Corridor,Reserve,Skier,,Must be level 15 to start this quest.,Eliminate 10 Scavs in the underground warehouse on Reserve,"+9,000 EXP | Skier Rep +0.04 | 35,000 Roubles 36,750 Roubles with Intelligence Center Level 1 40,250 Roubles with Intelligence Center Level 2 | 2× 5.45x39mm BP gs ammo pack (120 pcs) | 2× Expeditionary fuel tank",Chemical - Part 4 | Out of Curiosity | Big Customer,
Night Sweep,,Skier,,Must be level 50 to start this quest.,Find 12 unusual knives in raid | Hand over 12 knives to Skier,"+107,000 EXP | +2 Shotguns skill levels | 6,000 Dollars 6,300 Dollars with Intelligence Center Level 1 6,900 Dollars with Intelligence Center Level 2 | Unlocks craft for XTG-12 antidote injector at Medstation level 2",Rigged Game,
Long Road,Lighthouse,Skier,,Must be level 20 to start this quest.,Eliminate 4 Scavs along the shore and the main road on Lighthouse,"+15,300 EXP | Skier Rep +0.02 | 45,000 Roubles 47,250 Roubles with Intelligence center Level 1 51,750 Roubles with Intelligence center Level 2 | Unlocks purchase of Lobaev Arms DVL-10 7.62x51 bolt-action sniper rifle (variant Urbana) at Skier LL3",Friend From the West - Part 2,Missing Cargo
Missing Cargo,Lighthouse,Skier,,Must be level 30 to start this quest.,Locate the crashed helicopter on Lighthouse | Find the informant's intelligence folder | Hand over the folder to Skier,"+14,000 EXP | Skier Rep +0.03 | 68,000 Roubles 71,400 Roubles with Intelligence Center Level 1 78,200 Roubles with Intelligence Center Level 2 | Unlocks purchase of AR-15 Magpul MOE Carbine stock (Black) at Skier LL3 | Unlocks purchase of AK Zenit RK-3 pistol grip at Skier LL3 | Unlocks purchase of Magpul MOE Carbine rubber buttpad at Skier LL4",Long Road,Top Secret
Top Secret,Lighthouse,Skier,,,Locate the radar station commandant's office on Lighthouse | Obtain the military HDD with archived flight routes | Hand over the drive,"11,700 EXP | Skier Rep +0.03 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 1× Rifle Dynamics RD-704 7.62x39 assault rifle | 2× AK 7.62x39 FAB Defense Ultimag 30R 30-round magazine | 3× 7.62x39mm MAI AP ammo pack (20 pcs)",Missing Cargo | Getting Acquainted,
House Arrest - Part 1,Streets of Tarkov,Skier,,Must be level 33 to start this quest.,Locate where the missing group was held captive on Streets of Tarkov | Survive and extract from the location,"+28,800 EXP | Skier Rep +0.03 | 112,000 Roubles 117,600 Roubles with Intelligence Center Level 1 128,800 Roubles with Intelligence Center Level 2 | 1× Kel-Tec RFB 7.62x51 rifle",Debtor,House Arrest - Part 2
House Arrest - Part 2,Streets of Tarkov,Skier,,Must be level 33 to start this quest. | Unlocks 21 hours after completion of House Arrest - Part 1,Locate the improvised jail warden's apartment on Streets of Tarkov | Find out what happened to the warden | Survive and extract from the location,"+29,200 EXP | Skier Rep +0.03 | 114,000 Roubles 119,700 Roubles with Intelligence Center Level 1 131,100 Roubles with Intelligence Center Level 2 | 1× TDI KRISS Vector Gen.2 9x19 submachine gun",House Arrest - Part 1,
Debtor,Streets of Tarkov,Skier,,Must be level 31 to start this quest.,Find the debtor on Streets of Tarkov | Survive and extract from the location,"+13,200 EXP | Skier Rep +0.03 | 250,000 Roubles 262,500 Roubles with Intelligence Center Level 1 287,500 Roubles with Intelligence Center Level 2",Chumming,House Arrest - Part 1
Beyond the Red Meat - Part 1,Streets of Tarkov,Skier,,,Locate and obtain information on culinary secrets at the Beluga restaurant on Streets of Tarkov | Hand over the found data,"+18,400 EXP | Skier Rep +0.02 | 80,000 Roubles 84,120 Roubles with Intelligence center Level 1 92,920 Roubles with Intelligence center Level 2 | 2× SAG AK-545 5.45x39 carbine | 4× AK-74 5.45x39 6L23 30-round magazine (black) | 6× 5.45x39mm BT gs ammo pack (30 pcs) | Unlocks purchase of AK CSS knurled charging handle at Skier LL3",Vitamins - Part 2,Beyond the Red Meat - Part 2
Beyond the Red Meat - Part 2,Streets of Tarkov,Skier,,,Locate and obtain the secret ingredient at the TerraGroup office on Streets of Tarkov | Hand over the chemical additive,"+21,300 EXP | Skier Rep +0.03 | 120,000 Roubles 126,000 Roubles with Intelligence center Level 1 138,000 Roubles with Intelligence center Level 2 | 1× SIG MCX .300 Blackout assault rifle | 3× AR-15 5.56x45 Colt STANAG 30-round magazine | 3× .300 Blackout CBJ ammo pack (50 pcs) | Unlocks purchase of Zenit RK-1 tactical foregrip on B-25U mount at Skier LL4",Beyond the Red Meat - Part 1,
No Swiping,Shoreline,Skier,,,Locate the smugglers' base on Shoreline | Eliminate any 10 enemies in the base area,"+26,000 EXP | Skier Rep +0.04 | 280,000 Roubles 294,000 Roubles with Intelligence Center Level 1 322,000 Roubles with Intelligence Center Level 2 | 1× Propane tank (5L) | 1× Car battery | 1× Silicone tube | 1× Alkaline cleaner for heat exchangers | 1× Can of Majaica coffee beans",Chumming,
Pyramid Scheme,Streets of Tarkov,Skier,,Must be level 28 to start this quest.,Locate the first ATM on Nizhnaya Sadovaya Street on Streets of Tarkov | Locate the second ATM on Nizhnaya Sadovaya Street on Streets of Tarkov | Locate the ATM on Razvedchikov Street on Streets of Tarkov | Locate the first group of ATMs on Klimov Street on Streets of Tarkov | Locate the first ATM on Klimov Street on Streets of Tarkov | Locate the group of ATMs on Klimov Street on Streets of Tarkov | Locate the second ATM on Klimov Street on Streets of Tarkov | Locate the fourth group of ATMs on Klimov Street on Streets of Tarkov | Locate the fifth group of ATMs on Klimov Street on Streets of Tarkov | Locate the third ATM on Klimov Street on Streets of Tarkov | Locate the fourth ATM on Klimov Street on Streets of Tarkov | Locate the first ATM on Primorsky Ave on Streets of Tarkov | Locate the second ATM on Primorsky Ave on Streets of Tarkov | Locate the third ATM on Primorsky Ave on Streets of Tarkov | Locate the ATM at the expo on Streets of Tarkov,"+12,400 EXP | Skier Rep +0.03 | 600,000 Roubles 630,000 Roubles with Intelligence center Level 1 690,000 Roubles with Intelligence center Level 2",Vitamins - Part 2,
Burning Rubber,Ground Zero,Skier,,,Use the paid vehicle extraction on Ground Zero,"+1,900 EXP | Skier Rep +0.01 | 12,000 Roubles 12,600 Roubles with Intelligence Center Level 1 13,800 Roubles with Intelligence Center Level 2 | 1× OPSMEN Earmor M32 headset",,Supplier | Easy Money - Part 1
Easy Money - Part 1,Customs,Skier,,Must be level 10 to start this quest.,Plant the Bison vs Undertaker poster in the living quarters at the Scav base on Customs,"+4,500 EXP | 35,000 Roubles 36,750 Roubles with Intelligence Center Level 1 40,250 Roubles with Intelligence Center Level 2 | Unlocks Ref as trader",Burning Rubber,Easy Money - Part 2
Minute of Fame,Interchange,Skier,,"This quest is only available to buyers of the ""Edge of Darkness"" edition of the game.",Locate and obtain the special edition of the gaming magazine on Interchange | Hand over the found item,"+40,000 EXP | Skier Rep +0.02 | 1,600 Euros 1,680 Euros with Intelligence Center Level 1 1,840 Euros with Intelligence Center Level 2 | 2× AWC Thor PSR XL multi-caliber sound suppressor | 2× AR-10 AWC PSR 7.62x51 muzzle brake | 2× SIG Sauer SRD762Ti 7.62x51 sound suppressor",The Good Times - Part 2,Viewer
Serious Allegations,Shoreline,Skier,,"This quest is only available to buyers of the ""Edge of Darkness"" edition of the game.",Locate and obtain the hard drive at the old house on Shoreline | Hand over the found item,"+36,000 EXP | Skier Rep +0.02 | 1,500 Euros 1,575 Euros with Intelligence Center Level 1 1,725 Euros with Intelligence Center Level 2 | 1× L3Harris AN/PVS-14 night vision monocular | 1× AN/PVS-14 Norotos Dual Dovetail Mount | 1× Norotos Titanium Advanced Tactical Mount",Viewer,"Camera, Action!"
Proper Comeback,"Woods , Shoreline , Factory",Skier,,"This quest is only available to buyers of the ""Edge of Darkness"" edition of the game.",Stash a Golden rooster figurine at Prapor 's WI-FI Camera on Woods | Stash a Golden rooster figurine at Prapor 's WI-FI Camera on Shoreline | Stash a Golden rooster figurine at Prapor 's WI-FI Camera on Factory,"78,000 EXP | Skier Rep +0.02 | 1,900 Euros 1,995 Euros with Intelligence Center Level 1 2,185 Euros with Intelligence Center Level 2 | 2× Golden egg | 2× Tetriz portable game console","Camera, Action!",Key to the City
Thirsty - Breadwinner,,Skier,,,Find 2 Propane tanks (5L) in raid | Hand over the items,"+9,600 EXP | Skier Rep +0.01 | 200 Euros 210 Euros with Intelligence Center Level 1 230 Euros with Intelligence Center Level 2 | 1× Expeditionary fuel tank",Thirsty - Hounds,Thirsty - Delivery
Thirsty - Delivery,"Woods , Customs",Skier,,,Locate the specified stash spot on Woods | Locate the specified stash spot on Customs | Stash the first Propane tank (5L) | Stash the second Propane tank (5L),"+14,200 EXP | Skier Rep +0.03 | 56,000 Roubles 58,800 Roubles with Intelligence Center Level 1 64,400 Roubles with Intelligence Center Level 2 | 4× Alyonka chocolate bar",Thirsty - Breadwinner,Thirsty - Echo
The Walls Have Eyes,Factory,Skier,,,Install a WI-FI Camera in the first crane's cockpit on Factory | Install a WI-FI Camera in the second crane's cockpit on Factory | Install a WI-FI Camera in the third crane's cockpit on Factory,"+7,200 EXP | Skier Rep +0.02 | 550 Euros 578 Euros with Intelligence Center Level 1 633 Euros with Intelligence Center Level 2 | 1× TDI KRISS Vector Gen.2 .45 ACP submachine gun | 3× Glock .45 ACP KRISS G30 MagEx 30-round magazine | 3× .45 ACP Lasermatch FMJ ammo pack (50 pcs)",Exit Here,
Exit Here,Factory,Skier,,,Survive and extract from Factory through the main exit,"+5,500 EXP | Skier Rep +0.01 | 260 Euros 273 Euros with Intelligence Center Level 1 299 Euros with Intelligence Center Level 2 | 3× TP-200 TNT brick",Scout,The Walls Have Eyes
Irresistible,Interchange,Skier,,,Locate and obtain the lost weapon crate on Interchange | Hand over the retrieved cargo,"+32,000 EXP | Skier Rep +0.02 | 80,000 Roubles 84,000 Roubles with Intelligence Center Level 1 92,000 Roubles with Intelligence Center Level 2 | Unlocks purchase of MPS Auto Assault-12 Gen 1 12ga automatic shotgun at Skier LL4",Flint,Dangerous Props
Dangerous Props,,Skier,,,Eliminate any 20 targets while using the MPS Auto Assault-12 shotgun,"+39,900 EXP | Skier Rep +0.03 | 130,000 Roubles 136,500 Roubles with Intelligence Center Level 1 149,500 Roubles with Intelligence Center Level 2 | Unlocks barter for MPS Auto Assault-12 Gen 2 12ga automatic shotgun at Skier LL4",Irresistible,
